conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
a,12,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,15-30,middle child,2,neps,eth-lang,yes,9,authoritative,0,none,4.5,90.62,90.01,97.71,84.77,88.34,89.54,80.5,98.5,84.43,92.86,96.29,98.5,91.28,90.85,91,,,,,,,,middleschool
c,13,f,american,foriegn_soil,yes,7,paid,mother,a lot,agree,somehow agree,agree,private,old airport,15-,middle child,3,lycee,for-lang,yes,10,authoritative,0,none,3.5,80.99,95.71,77.86,70.08,76.59,63.29,65.63,96.25,60.64,93.07,85.04,86.5,77.42,82.6,79.4,,,,,,,,middleschool
a,12,f,american,foriegn_soil,yes,7,paid,both,a lot,strongly agree,agree,somehow agree,private,sarbet,15-30,first child,0,greek school,for-lang,yes,6,authoritarian,1,phyemo,3.75,85.38,88.95,97.69,75.89,92.74,80.22,84.72,100,81.89,92.47,92.29,92,92.62,91.96,89.2,,,,,,,,middleschool
a,12,f,ethiopian,ethiopia,yes,7,paid,both,not much,agree,agree,somehow agree,private,gulele,15-30,middle child,2,neps,eth-lang,no,7.5,authoritative,0,none,3,79.71,98.04,100,93.65,93.7,88.49,77.47,96.75,79.81,91.29,102.29,99,88.83,90.4,91.4,,,,,,,,middleschool
a,14,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,agree,agree,service,jemo,30-60,middle child,2,jemo 2,eth-lang,no,7,authoritarian,0,none,4,73.82,99.82,100,100,88.46,94.4,84.46,96.25,82.88,85.07,104.29,99.5,89.36,88.84,91.9,,,,,,,,middleschool
b,12,f,ethiopian,ethiopia,yes,7,paid,both,a lot,agree,strongly agree,agree,private,german square,15-30,first child,3,flipper,eth-lang,yes,9,authoritative,0,none,4,90.67,90.45,90.68,90.65,89.93,75.27,86.09,95.5,82.1,86.36,93.29,95.5,87.42,88.3,88.7,,,,,,,,middleschool
b,13,f,american,foriegn_soil,no,7,paid,both,a lot,agree,strongly agree,agree,service,cmc,60+,middle child,0,flipper,eth-lang,yes,8.5,authoritative,0,none,4,79.96,95.25,90.31,84.26,84.83,71.98,63.26,93.5,74.96,84.1,104.29,97.5,87.05,85.34,85.5,,,,,,,,middleschool
a,13,m,ethiopian,ethiopia,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,bole bulbula,30-60,first child,2,kb academy,eth-lang,yes,9,authoritative,0,none,4.5,96.14,91.16,100,92.62,90.27,92.08,97.07,98.5,76.16,96.21,100.29,95,91.58,98.44,94,,,,,,,,middleschool
a,13,m,ethiopian,ethiopia,yes,7,paid,both,a lot,agree,agree,agree,private,german square,15-30,first child,2,gibson,eth-lang,yes,5,authoritarian,0,none,3.75,61.27,82.1,94.84,79.23,72.01,64.29,54.86,91.25,56.82,77.95,96.29,88.5,78.43,80.76,77,,,,,,,,middleschool
a,12,f,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,strongly agree,agree,private,haile garment,30-60,first child,2,school of nations,eth-lang,yes,9,authoritative,0,none,4.25,99.17,99.63,100,95.36,96.19,95.5,91.92,98.5,92.17,96.79,100.33,90.5,95.16,92.59,96,,,,,,,,middleschool
b,13,f,ethiopian,ethiopia,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,first child,0,spring of knowledge,eth-lang,yes,8.5,permissive,0,none,4.5,72.2,87.3,98.2,86.39,80.59,66.48,70.65,96.5,78.33,96.62,77.86,91,84.12,79.44,83.3,,,,,,,,middleschool
