conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
a,17,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lafto,60+,middle child,0,southwest,eth-lang,no,4,authoritative,0,none,4.5,92.5,80.56,,,94.5,67.52,,,,,94.63,,90.6,80.63,87.2,96.82,80.56,,,93.35,,84.2,highschool
a,18,f,ethiopian,ethiopia,no,12,paid,both,a lot,strongly agree,somehow agree,agree,service,mekanisa,15-30,first child,3,gibson,eth-lang,no,7,authoritarian,1,none,3.75,90.83,83.89,,,86.75,62.76,,,,,94.63,,86.31,76.2,84.6,99.13,83.89,,,81.52,,80.3,highschool
b,18,m,ethiopian,ethiopia,no,12,paid,both,a lot,agree,strongly agree,strongly agree,private,mekanisa,15-,last child,3,dandii boru,eth-lang,no,7,authoritative,1,none,4.25,70.12,73.36,,,78.9,75.39,,,,,99.13,,87.56,70.84,80.6,88.49,73.36,,,88.52,,77.6,highschool
a,17,f,american,ethiopia,no,12,paid,both,a lot,agree,strongly agree,agree,service,haile garment,60+,middle child,3,gibson,eth-lang,no,8,authoritative,0,none,4,94.2,81.31,,,86.42,85.2,,,,,96.88,,89.62,96.15,90.3,96.82,81.31,,,94.78,,90.2,highschool
a,18,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,tuludimtu,60+,last child,3,tuludimtu,eth-lang,no,5.5,authoritative,0,none,4.5,88.13,81.7,,,88.96,89.56,,,,,99.13,,86.43,86.53,88.8,96.01,81.7,,,90.33,,87.1,highschool
b,17,m,ethiopian,ethiopia,no,12,scholarship,mother,not much,strongly disagree,disagree,strongly disagree,public,haile garment,60+,last child,0,hidase,eth-lang,no,9,authoritarian,0,none,1.25,78.92,95.5,,,100.46,89.8,,,,,96.25,,90.79,77.84,89.7,88.6,84.46,,,94.37,,86,highschool
a,18,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,somehow agree,service,haile garment,60+,last child,0,bgis,eth-lang,no,7,authoritative,0,none,3.5,94.85,97,,,96.77,78.17,,,,,97.75,,91.62,73.65,89.9,93.23,85.08,,,90.77,,85.7,highschool
a,18,m,ethiopian,ethiopia,no,12,scholarship,other,little,disagree,strongly disagree,disagree,public,haile garment,60+,first child,1,hidase,eth-lang,no,6,authoritative,0,none,1.75,88.75,98.5,,,97.83,95.96,,,,,97.75,,92.21,87.42,94.5,97.95,89.52,,,99,,92.1,highschool
b,18,m,ethiopian,ethiopia,yes,12,scholarship,both,a lot,strongly agree,agree,somehow agree,public,tuludimtu,60+,first child,3,kotari,eth-lang,no,5,authoritative,0,none,3.75,77.82,96.5,,,96.15,87.79,,,,,96.25,,92.85,79.44,89.4,95.96,83.26,,,87.58,,84.8,highschool
a,17,f,ethiopian,ethiopia,no,12,scholarship,mother,little,agree,somehow agree,somehow agree,service,lebu,60+,first child,0,stanford,eth-lang,no,6,authoritative,1,"emo,psy",3,89.98,97.5,,,92.31,71.53,,,,,96.25,,90.23,78.71,89.6,98.24,90.17,,,90.8,,85.2,highschool
b,18,m,ethiopian,ethiopia,no,12,scholarship,other,a lot,agree,agree,strongly agree,public,tuludimtu,60+,first child,3,school of tomorrow,for-lang,no,8,authoritative,1,x,4,69.87,74.5,,,86.27,62.87,,,,,94.75,,84.04,59.96,76.6,84.85,71.52,,,77.43,,70.9,highschool
a,17,f,ethiopian,ethiopia,no,12,scholarship,both,little,somehow agree,strongly agree,strongly agree,service,tuludimtu,60+,first child,2,menbere hiwot,eth-lang,no,6,authoritative,1,"emo,psy",3.75,88.28,94.5,,,87.34,76.85,,,,,94.25,,85.62,79.36,87.3,96.09,85.71,,,84.98,,83.5,highschool
a,20,f,ethiopian,ethiopia,no,12,scholarship,other,not much,agree,somehow agree,strongly agree,public,jemo,60+,middle child,0,abay,eth-lang,no,5,authoritative,1,"emo,psy",3.25,85.53,98,,,90.85,83.07,,,,,96.25,,92.04,73.45,90,99.13,91.02,,,90.95,,86,highschool
c,17,m,ethiopian,ethiopia,yes,12,scholarship,both,a lot,strongly agree,agree,agree,private,bethel,15-30,last child,3,intellectual,eth-lang,yes,7,authoritative,0,phypsy,4,84.58,92.5,,,96.9,63.55,,,,,94.75,,82.43,69.07,82.5,93.76,59.86,,,87.7,,74.5,highschool
b,18,m,american,ethiopia,no,12,paid,father,a lot,strongly agree,strongly agree,agree,private,gerji,30-60,first child,3,jfk,eth-lang,yes,7,permissive,1,phyemopsy,4.25,73.42,87.4365882352942,,,85.35,79.3472514619883,,,,,95.25,,,,80.4,85.52,,80,67.37,78.83,77.11,74.9,highschool
a,18,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,strongly agree,service,kality,30-60,last child,0,alembank,eth-lang,no,6,authoritative,0,none,4,84.5,95.5,,,95.76,76.75,,,,,94.75,,,,89.3,93.16,,86.62,86.33,91.32,88.73,85.1,highschool
a,16,f,british,ethiopia,yes,12,paid,both,a lot,strongly agree,strongly agree,agree,private,mekanisa,15-30,first child,1,swedish,for-lang,yes,5,permissive,0,none,4.25,88.6,87.4365882352942,,,52.85,64.79,,,,,90.75,,,,80.1,92.22,,77.24,83.96,80.05,90.11,78.9,highschool
b,19,f,ethiopian,ethiopia,no,12,paid,other,a lot,agree,somehow agree,agree,private,lebu,30-60,last child,0,dandii boru,eth-lang,no,6,authoritative,0,none,3.5,77.32,95.5,,,91.5,61.1,,,,,82.43,,,,82.7,89.49,,77.16,89.02,76.2,86.84,76.2,highschool
a,18,f,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,agree,agree,service,jemo,30-60,first child,0,abay,eth-lang,no,4,authoritative,0,none,3.75,87.8,97,,,94.55,62.29,,,,,94.25,,,,88.4,94.13,,88.13,90.31,87.37,87.73,83.2,highschool
b,18,f,ethiopian,ethiopia,no,12,paid,both,little,agree,disagree,somehow agree,private,mekanisa,15-30,middle child,2,spring of knowledge,eth-lang,yes,6.5,authoritarian,0,none,2.75,94.55,79,,,82.82,59.99,,,,,81.75,,,,81.9,95.43,,75.91,83.9,77.37,88.57,78.3,highschool
a,17,m,ethiopian,ethiopia,no,12,scholarship,both,a lot,agree,strongly agree,strongly agree,public,kality,60+,last child,0,alem birhan,eth-lang,no,4.5,authoritarian,0,none,4.25,70.92,80,,,96.31,70.61,,,,,97.75,,,,85.2,87.85,,90.67,81.5,93.35,83.46,81.4,highschool
a,18,f,ethiopian,ethiopia,yes,12,paid,both,little,somehow agree,agree,disagree,private,lebu,30-60,first child,2,southwest,eth-lang,no,8,authoritative,1,emoxpsy,2.75,90.83,92.5,,,89.52,81.17,,,,,93.75,,,,89.7,96.06,,84.71,89.92,90.37,87.98,87.4,highschool
b,18,f,italian,ethiopia,no,12,paid,mother,not much,strongly agree,strongly agree,somehow agree,private,gerji,30-60,last child,0,andinet,for-lang,no,10,authoritarian,1,"emo,psy",3.5,67.67,68,,,81.18,27.53,,,,,60.25,,,,63.7,65.83,,68.46,72.64,71.08,54.73,61.5,highschool
b,17,f,ethiopian,ethiopia,no,12,paid,both,a lot,agree,somehow agree,agree,service,jemo,30-60,middle child,1,school of nations,eth-lang,no,8,authoritative,0,none,3.5,92.25,94.5,,,91.73,74.35,,,,,94.75,,,,89.5,93.07,,83.29,91.94,88.78,90.61,86.1,highschool
b,18,f,ethiopian,ethiopia,no,12,paid,both,a lot,agree,somehow agree,agree,private,bole bulbula,30-60,middle child,0,character hallmark,eth-lang,no,6,authoritative,0,none,3.5,79.77,79.5,,,91.42,66.71,,,,,81.75,,,,83.4,96.5,,77.82,89.68,83.32,87.04,79.5,highschool
a,17,f,canadian,ethiopia,yes,12,paid,both,little,somehow agree,agree,somehow agree,service,cmc,60+,middle child,0,scs,eth-lang,yes,5.5,authoritative,0,none,3,91.4,72.5,,,85.17,64.07,,,,,90.25,,,,84.2,93.07,,79.02,89.55,91.92,84.82,83.2,highschool
a,18,f,ethiopian,ethiopia,yes,12,paid,both,a lot,strongly agree,somehow agree,somehow agree,private,sarbet,15-30,last child,2,intellectual,eth-lang,yes,7,authoritative,1,emotional,3.5,77.82,81,,,87.8,65.91,,,,,92.75,,,,82.9,91.37,,77.47,87.2,86.18,81.16,78.9,highschool
a,18,m,ethiopian,ethiopia,no,12,paid,both,a lot,agree,agree,agree,private,bole,30-60,first child,3,andinet,eth-lang,yes,8,authoritative,0,none,3.75,86.53,88.5,,,89.7,72.3,,,,,94.7,,,,86.6,86.65,,85.6,86.3,88.95,86.36,83.9,highschool
